objectid,title,location,address,city,state,zip_code,subject,datebuilt_architect,date_all,date,latitude,longitude,architect,filename,rights,format,people
iaahs003,Royal Theater,Center City,1524-1534 South St.,Philadelphia,PA,19146,theater,"1919, Frank E. Hahn",1919,1919,39.943754,-75.166382,Frank E. Hahn,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/RoyalTheaterPhilly.JPG/1600px-RoyalTheaterPhilly.JPG,"By Smallbones - Own work, Public Domain, https://commons.wikimedia.org/w/index.php?curid=9488951",image/jpeg,Bessie Smith; Pearl Bailey
iaahs019,Standard Theater,Center City,1124-8 South St.,Philadelphia,PA,19147,theater,"alterations, 1889, Rowe & Dagit; alterations, 1892, A. Wade",1889;1892,1889,39.943754,-75.166382,Rowe & Dagit;A. Wade,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Gibson%27s_New_Standard_Theatre_Philadelphia_PA_%281919%29.jpg/792px-Gibson%27s_New_Standard_Theatre_Philadelphia_PA_%281919%29.jpg,"By Editor-in-Chief Clement Richardson - The National Cyclopedia of the Colored Race, Editor-in-Chief Clement Richardson (1919) National Publishing Co., Inc. Montgomery AL (https://archive.org/details/nationalcycloped01richrich/page/n4), Public Domain, https://commons.wikimedia.org/w/index.php?curid=83211989",image/jpeg,Bessie Smith; Duke Ellington
iaahs025,Dunbar Theater / Lincoln Theater,Center City,Broad and Lombard Streets.,Philadelphia,PA,19146,theater,,,,37.9365752,-87.8768004,,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/The_Dunbar_Theatre_Historical_Marker_Southwest_Corner_Broad_and_Lombard_Streets_Philadelphia_PA_%28DSC_3182%29.jpg/1920px-The_Dunbar_Theatre_Historical_Marker_Southwest_Corner_Broad_and_Lombard_Streets_Philadelphia_PA_%28DSC_3182%29.jpg?20191101210248,"By Nick-philly - Own work, CC BY-SA 4.0, https://commons.wikimedia.org/w/index.php?curid=83579365",image/jpeg,Duke Ellington; Paul Robeson
iaahs029,Grendel's Lair,Center City,500 South St.,Philadelphia,PA,19147,jazz club,,,,39.941747,-75.150875,,https://digital.library.temple.edu/digital/api/singleitem/image/p15037coll3/190/default.jpg?highlightTerms=Grendel%27s%20Lair,"This material is subject to copyright law and is made available for private study, scholarship, and research purposes only. For access to the original or a high resolution reproduction, and for permission to publish, please contact Temple University Libraries, Special Collections Research Center, scrc@temple.edu, 215-204-8257.",image/jpeg,Charles Mingus; Dizzy Gillespie
iaahs045,Uptown Theater,North,2240 N. Broad St.,Philadelphia,PA,19132,theater,"1927, 1929, E. Magiziner, H. Magiziner",1927;1929,1927,39.987403,-75.15652,E. Magiziner; H. Magiziner,https://upload.wikimedia.org/wikipedia/commons/4/4c/Uptown_Theater%2C_Broad_St%2C_Philly_1.JPG,"By Smallbones - Own work, CC0, https://commons.wikimedia.org/w/index.php?curid=34097882",image/jpeg,The Supremes
iaahs049,Freedom Theatre,North,1346 N. Broad St.,Philadelphia,PA,19121,theater,"1853, 1865; Stephen D. Button",1853;1865,1853,40.010581,-75.150898,Stephen D. Button,,,record,Leslie Odom Jr.; Samm-Art Williams
iaahs064,Jessie Redmon Fauset House,North,1853 N. 17th St.,Philadelphia,PA,19121,dwelling,ca. 1885,1885,1885,39.982106,-75.161803,,,,record,Jessie Redmon Fauset
iaahs065,John W. Coltrane House,North,1511 N. 33rd St.,Philadelphia,PA,19121,dwelling,1895,1895,1895,39.980283,-75.188424,,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/ColtraneH.jpg/500px-ColtraneH.jpg,"By https://www.loc.gov/pictures/item/pa3863.photos.381323p, Public Domain, https://commons.wikimedia.org/w/index.php?curid=34382696",image/jpeg,John W. Coltrane
iaahs066,Pearl Bailey House,North,1946 N. 23rd St.,Philadelphia,PA,19121,dwelling,ca. 1884-1886,1884;1886,1884,39.984933,-75.1718,,https://upload.wikimedia.org/wikipedia/commons/4/44/Pearl_Bailey_-_publicity.jpg,"By William Morris Agency - ebay, Public Domain, https://commons.wikimedia.org/w/index.php?curid=28343387",image/jpeg,Pearl Bailey
iaahs093,Alain Leroy Locke House,South,2221 S. 5th St.,Philadelphia,PA,19148,dwelling,,,,39.9206044,-75.1552563,,https://upload.wikimedia.org/wikipedia/commons/3/31/Alain_LeRoy_Locke_cr.jpg,"By Unknown author - File:Alain LeRoy Locke.jpg, Public Domain, https://commons.wikimedia.org/w/index.php?curid=128911204",image/jpeg,Alain Leroy Locke
